accedíamos	accedieron
aceptábamos	aceptaron
administrábamos	administraron
adoptábamos	adoptaron
ampliábamos	ampliaron
aparecíamos	aparecieron
aumentábamos	aumentaron
bailábamos	bailaron
compartíamos	compartieron
concluíamos	concluyeron
conservábamos	conservaron
corríamos	corrieron
decidíamos	decidieron
desempeñábamos	desempeñaron
encontrábamos	encontraron
entrábamos	entraron
enviábamos	enviaron
establecíamos	establecieron
existíamos	existieron
expresábamos	expresaron
fomentábamos	fomentaron
imponíamos	impusieron
iniciábamos	iniciaron
integrábamos	integraron
investigábamos	investigaron
involucrábamos	involucraron
íbamos	fueron
jugábamos	jugaron
llorábamos	lloraron
luchábamos	lucharon
matábamos	mataron
movíamos	movieron
observábamos	observaron
obteníamos	obtuvieron
ocurríamos	ocurrieron
producíamos	produjeron
promovíamos	promovieron
proporcionábamos	proporcionaron
realizábamos	realizaron
recogíamos	recogieron
regresábamos	regresaron
revisábamos	revisaron
rompíamos	rompieron
salíamos	salieron
servíamos	sirvieron
supervisábamos	supervisaron
terminábamos	terminaron
tocábamos	tocaron
trabajábamos	trabajaron
usábamos	usaron
