adquiría	adquirirá
aprendía	aprenderá
aprovechaba	aprovechará
asistía	asistirá
causaba	causará
confiaba	confiará
continuaba	continuará
convertía	convertirá
creía	creerá
cubría	cubrirá
cumplía	cumplirá
daba	dará
descubría	descubrirá
determinaba	determinará
disfrutaba	disfrutará
ejecutaba	ejecutará
elaboraba	elaborará
empezaba	empezará
estaba	estará
existía	existirá
exploraba	explorará
facilitaba	facilitará
habilitaba	habilitará
identificaba	identificará
impedía	impedirá
implicaba	implicará
imponía	impondrá
integraba	integrará
introducía	introducirá
lloraba	llorará
lograba	logrará
medía	medirá
organizaba	organizará
paraba	parará
parecía	parecerá
partía	partirá
pensaba	pensará
permitía	permitirá
podía	podrá
proponía	propondrá
proporcionaba	proporcionará
reemplazaba	reemplazará
reforzaba	reforzará
relacionaba	relacionará
respetaba	respetará
rompía	romperá
satisfacía	satisfará
tenía	tendrá
tocaba	tocará
visitaba	visitará
