abandonaba	abandonaban
aceptaba	aceptaban
agradecía	agradecían
alcanzaba	alcanzaban
aparecía	aparecían
aprovechaba	aprovechaban
asistía	asistían
compraba	compraban
conducía	conducían
contaba	contaban
controlaba	controlaban
decía	decían
defendía	defendían
dejaba	dejaban
designaba	designaban
destacaba	destacaban
disfrutaba	disfrutaban
elaboraba	elaboraban
empezaba	empezaban
enfrentaba	enfrentaban
estudiaba	estudiaban
evadía	evadían
examinaba	examinaban
firmaba	firmaban
incrementaba	incrementaban
integraba	integraban
investigaba	investigaban
involucraba	involucraban
llamaba	llamaban
mantenía	mantenían
mencionaba	mencionaban
miraba	miraban
ocurría	ocurrían
oía	oían
partía	partían
reconocía	reconocían
recordaba	recordaban
reemplazaba	reemplazaban
resolvía	resolvían
seleccionaba	seleccionaban
servía	servían
señalaba	señalaban
sobrevivía	sobrevivían
solicitaba	solicitaban
traía	traían
usaba	usaban
veía	veían
verificaba	verificaban
viajaba	viajaban
volaba	volaban
