acelerabais	aceleré
actuabais	actué
administrabais	administré
adquiríais	adquirí
apoyabais	apoyé
aprobabais	aprobé
averiguabais	averigüé
añadíais	añadí
caminabais	caminé
cantabais	canté
celebrabais	celebré
comenzabais	comencé
completabais	completé
comprabais	compré
conservabais	conservé
controlabais	controlé
cooperabais	cooperé
corríais	corrí
cuidabais	cuidé
demostrabais	demostré
describíais	describí
designabais	designé
deteníais	detuve
disfrutabais	disfruté
ejercíais	ejercí
formabais	formé
formulabais	formulé
fortalecíais	fortalecí
implicabais	impliqué
incorporabais	incorporé
iniciabais	inicié
involucrabais	involucré
llegabais	llegué
llorabais	lloré
manteníais	mantuve
medíais	medí
modificabais	modifiqué
parecíais	parecí
poníais	puse
probabais	probé
protegíais	protegí
referíais	referí
relacionabais	relacioné
resolvíais	resolví
solicitabais	solicité
sumabais	sumé
superabais	superé
tocabais	toqué
trabajabais	trabajé
viajabais	viajé
