accedía	accederemos
aceleraba	aceleraremos
alcanzaba	alcanzaremos
alentaba	alentaremos
aprovechaba	aprovecharemos
ayudaba	ayudaremos
caminaba	caminaremos
casaba	casaremos
conducía	conduciremos
conservaba	conservaremos
consistía	consistiremos
construía	construiremos
controlaba	controlaremos
creaba	crearemos
crecía	creceremos
decidía	decidiremos
descargaba	descargaremos
enseñaba	enseñaremos
escribía	escribiremos
establecía	estableceremos
estaba	estaremos
evitaba	evitaremos
expresaba	expresaremos
facilitaba	facilitaremos
fallaba	fallaremos
fomentaba	fomentaremos
fortalecía	fortaleceremos
habilitaba	habilitaremos
hacía	haremos
imaginaba	imaginaremos
impedía	impediremos
incorporaba	incorporaremos
leía	leeremos
moría	moriremos
ofrecía	ofreceremos
olvidaba	olvidaremos
podía	podremos
prevenía	prevendremos
producía	produciremos
promocionaba	promocionaremos
realizaba	realizaremos
recordaba	recordaremos
reemplazaba	reemplazaremos
representaba	representaremos
requería	requeriremos
respetaba	respetaremos
rompía	romperemos
seguía	seguiremos
traía	traeremos
vivía	viviremos
