aceleraba	acelerará
acordaba	acordará
analizaba	analizará
aprobaba	aprobará
asistía	asistirá
averiguaba	averiguará
caminaba	caminará
cerraba	cerrará
combatía	combatirá
comenzaba	comenzará
cortaba	cortará
cuidaba	cuidará
decidía	decidirá
dirigía	dirigirá
dormía	dormirá
ejecutaba	ejecutará
enseñaba	enseñará
esperaba	esperará
evaluaba	evaluará
examinaba	examinará
exploraba	explorará
financiaba	financiará
garantizaba	garantizará
identificaba	identificará
incorporaba	incorporará
introducía	introducirá
llamaba	llamará
manejaba	manejará
medía	medirá
necesitaba	necesitará
obtenía	obtendrá
pagaba	pagará
pedía	pedirá
presentaba	presentará
preservaba	preservará
producía	producirá
promovía	promoverá
proponía	propondrá
proporcionaba	proporcionará
publicaba	publicará
quedaba	quedará
reforzaba	reforzará
respetaba	respetará
respondía	responderá
robaba	robará
sabía	sabrá
seleccionaba	seleccionará
era	será
usaba	usará
volvía	volverá
